date,open,high,low,close,volume,Name
2018-11-15,37.87,38.16,36.3101,37.82,8296755,AAL
2018-11-16,37.4,37.53,36.5,36.75,10645828,AAL
2018-11-19,36.76,37.08,35.305,35.82,9420974,AAL
2018-11-20,35.05,36.39,34.86,35.59,7059833,AAL
2018-11-21,36.09,37.51,35.97,36.31,8701536,AAL
2018-11-23,36.66,38.27,36.66,37.95,6121272,AAL
2018-11-26,38.3,38.62,37.7001,38.1,9203089,AAL
2018-11-27,38.21,38.765,37.81,38.29,8143233,AAL
2018-11-28,38.59,38.97,37.78,38.94,6673828,AAL
2018-11-29,38.8,39.34,38.4,38.42,5178376,AAL
2018-11-30,38.42,40.2,38.42,40.16,10015654,AAL
2018-12-03,40.57,40.58,39.135,39.65,6577686,AAL
2018-12-04,38.82,39.205,36.67,36.69,12315077,AAL
2018-12-06,36.0,37.1,35.79,36.94,9378907,AAL
2018-12-07,36.58,36.6,33.38,33.57,14380116,AAL
2018-12-10,33.67,34.17,32.61,33.84,8569141,AAL
2018-12-11,34.36,34.81,33.61,34.1,8055448,AAL
2018-12-12,34.55,34.7864,34.089,34.35,7630516,AAL
2018-12-13,34.3,34.69,32.38,32.46,10279702,AAL
2018-12-14,32.27,33.2741,32.08,32.41,8558597,AAL
2018-11-15,188.39,191.97,186.9,191.41,46478801,AAPL
2018-11-16,190.5,194.9695,189.46,193.53,36928253,AAPL
2018-11-19,190.0,190.7,184.99,185.86,41920872,AAPL
2018-11-20,178.37,181.47,175.51,176.98,67825247,AAPL
2018-11-21,179.73,180.27,176.55,176.78,31124210,AAPL
2018-11-23,174.94,176.595,172.1,172.29,23623972,AAPL
2018-11-26,174.24,174.95,170.26,174.62,44998520,AAPL
2018-11-27,171.51,174.77,170.88,174.24,41387377,AAPL
2018-11-28,176.73,181.29,174.93,180.94,46062539,AAPL
2018-11-29,182.66,182.8,177.7,179.55,41769992,AAPL
2018-11-30,180.29,180.33,177.03,178.58,39531549,AAPL
2018-12-03,184.46,184.94,181.21,184.82,40798002,AAPL
2018-12-04,180.95,182.3899,176.27,176.69,41344282,AAPL
2018-12-06,171.76,174.78,170.42,174.72,43098410,AAPL
2018-12-07,173.49,174.49,168.3,168.49,42281631,AAPL
2018-12-10,165.0,170.09,163.33,169.6,62025994,AAPL
2018-12-11,171.66,171.79,167.0,168.63,47281665,AAPL
2018-12-12,170.4,171.92,169.02,169.1,35627674,AAPL
2018-12-13,170.49,172.57,169.55,170.95,31897827,AAPL
2018-12-14,169.0,169.08,165.28,165.48,40703710,AAPL
2018-11-15,176.88,180.44,174.801,179.05,1026644,AAP
2018-11-16,177.55,179.4945,176.0,179.21,876056,AAP
2018-11-19,179.15,182.49,176.9,177.75,856734,AAP
2018-11-20,174.05,177.67,171.12,171.53,891924,AAP
2018-11-21,171.5,176.09,171.41,174.67,893661,AAP
2018-11-23,173.7,178.53,173.66,177.24,325724,AAP
2018-11-26,178.91,180.765,176.92,177.72,658824,AAP
2018-11-27,176.65,181.42,176.6,179.27,701681,AAP
2018-11-28,178.85,180.79,177.95,178.95,1086622,AAP
2018-11-29,177.91,179.18,177.34,177.67,747842,AAP
2018-11-30,177.78,178.9124,175.01,177.71,1399630,AAP
2018-12-03,178.97,179.79,174.85,177.89,895225,AAP
2018-12-04,180.12,181.7264,175.62,178.19,1549519,AAP
2018-12-06,176.31,177.0,170.75,175.76,1226619,AAP
2018-12-07,174.62,177.2601,167.38,167.59,761799,AAP
2018-12-10,167.81,167.82,163.41,166.17,1471151,AAP
2018-12-11,167.68,168.89,165.01,165.8,861154,AAP
2018-12-12,166.95,168.86,166.1225,166.98,1461079,AAP
2018-12-13,166.82,167.98,165.13,166.29,1008157,AAP
2018-12-14,165.3,168.38,163.395,163.78,968569,AAP
2018-11-15,87.63,90.29,85.96,90.14,10365687,ABBV
2018-11-16,89.73,92.0,89.2,91.53,8691056,ABBV
2018-11-19,91.29,92.34,89.11,89.48,5971688,ABBV
2018-11-20,89.0,89.71,87.86,88.09,5372976,ABBV
2018-11-21,88.5,88.78,85.37,86.15,6532632,ABBV
2018-11-23,85.6,86.55,84.9001,85.63,1612814,ABBV
2018-11-26,86.39,87.25,85.21,86.24,5227881,ABBV
2018-11-27,86.22,87.7,85.5,87.68,4338274,ABBV
2018-11-28,88.04,88.96,86.56,88.94,3953645,ABBV
2018-11-29,89.01,90.33,88.36,89.91,3837960,ABBV
2018-11-30,90.26,94.27,89.87,94.27,12031741,ABBV
2018-12-03,94.3184,94.717,92.82,93.66,6673817,ABBV
2018-12-04,93.916,94.98,90.4,90.55,7008395,ABBV
2018-12-06,89.7,90.48,87.17,90.33,8734309,ABBV
2018-12-07,89.93,90.0,86.37,86.96,6737665,ABBV
2018-12-10,86.67,87.88,84.6,87.61,5229396,ABBV
2018-12-11,88.62,89.44,86.66,88.17,5098100,ABBV
2018-12-12,89.32,90.17,88.36,88.6,4185087,ABBV
2018-12-13,89.37,89.99,87.37,87.71,4078628,ABBV
2018-12-14,86.8,87.16,85.08,85.61,5461637,ABBV
2018-11-15,88.2622,88.7798,85.6938,88.75,1200446,ABC
2018-11-16,88.31,89.12,87.45,88.75,1175366,ABC
2018-11-19,89.1,91.37,88.15,90.82,2033031,ABC
2018-11-20,90.05,91.53,87.96,88.87,2098896,ABC
2018-11-21,88.52,89.3,87.1,87.43,1252942,ABC
2018-11-23,87.18,88.0,86.46,87.66,361432,ABC
2018-11-26,88.63,89.23,88.02,88.94,928716,ABC
2018-11-27,88.89,89.75,88.35,89.63,1327068,ABC
2018-11-28,89.7,91.27,89.05,91.24,1018898,ABC
2018-11-29,90.89,91.21,89.88,90.5,805024,ABC
2018-11-30,90.68,90.87,87.67,88.9,1934505,ABC
2018-12-03,88.98,89.675,88.05,89.02,1270238,ABC
2018-12-04,88.6,90.255,87.41,87.61,2102840,ABC
2018-12-06,86.99,86.99,83.33,85.98,1582570,ABC
2018-12-07,85.54,86.26,84.0,84.32,934709,ABC
2018-12-10,84.42,84.42,80.45,83.55,1193930,ABC
2018-12-11,84.39,84.78,81.65,82.48,1297882,ABC
2018-12-12,83.08,84.98,83.07,83.22,1175770,ABC
2018-12-13,82.93,83.34,81.28,81.89,1140833,ABC
